"","Var1","Freq"
"1","AMUSEMENT ARCADES (014)",16
"2","AMUSEMENT ARCADES (014) + CATERING (075)",1
"3","AUCTIONEER (DAY) (036)",145
"4","AUCTIONEER (DAY) (036) + AUCTION HOUSES (128)",1
"5","AUCTION HOUSES (128)",23
"6","BILLIARD ROOM (046)",49
"7","BILLIARD ROOM (046) + AMUSEMENT ARCADES (014)",1
"8","BINGO ORG (089)",40
"9","BINGO ORG (089) + COMMERCIAL LESSOR (091)",1
"10","BOOTING COMPANY (126)",2
"11","CABARET (073)",111
"12","CABARET (073) + CABARET ADD'L ROOM (C73)",16
"13","CABARET (073) + CATERING (075)",2
"14","CABARET (073) + CATERING ADD'L ROOM (E75)",1
"15","CABARET (073) + SIDEWALK CAFE (013)",1
"16","CABARET ADD'L ROOM (C73)",9
"17","CATERING (075)",31
"18","CATERING (075) + CATERING ADD'L ROOM (E75)",21
"19","CATERING ADD'L ROOM (E75)",14
"20","CIGARETTE RETAIL (127)",9094
"21","CIGARETTE RETAIL (127) + BILLIARD ROOM (046)",2
"22","CIGARETTE RETAIL (127) + CABARET (073) + CABARET ADD'L ROOM (C73)",3
"23","CIGARETTE RETAIL (127) + DEALER IN PRODUCTS (119)",13
"24","CIGARETTE RETAIL (127) + ELECTRONIC HOME APPL (115) + ELECTRONICS STORE (001)",1
"25","CIGARETTE RETAIL (127) + ELECTRONIC HOME APPL (115) + ELECTRONICS STORE (001) + SECOND HAND DLR GEN (006)",1
"26","CIGARETTE RETAIL (127) + ELECTRONIC HOME APPL (115) + SECOND HAND DLR GEN (006)",1
"27","CIGARETTE RETAIL (127) + ELECTRONICS STORE (001)",7
"28","CIGARETTE RETAIL (127) + GARAGE & PARKING LOT (098)",1
"29","CIGARETTE RETAIL (127) + GENERAL VENDOR VETRN (094)",2
"30","CIGARETTE RETAIL (127) + HOME IMPROV CONTCTR (100) + TOW TRUCK DRIVER (125)",1
"31","CIGARETTE RETAIL (127) + HOME IMPROV SALESPSN (101)",9
"32","CIGARETTE RETAIL (127) + HOME IMPROV SALESPSN (101) + HOME IMPROV CONTCTR (100)",2
"33","CIGARETTE RETAIL (127) + HOME IMPROV SALESPSN (101) + HOME IMPROV CONTCTR (100) + LOCKSMITH (062)",1
"34","CIGARETTE RETAIL (127) + HOME IMPROV SALESPSN (101) + HOME IMPROV CONTCTR (100) + TOW TRUCK DRIVER (125)",1
"35","CIGARETTE RETAIL (127) + HOME IMPROV SALESPSN (101) + NEWSSTAND (024)",1
"36","CIGARETTE RETAIL (127) + HOME IMPROV SALESPSN (101) + STOOP LINE STAND (033)",1
"37","CIGARETTE RETAIL (127) + LAUNDRY (064)",1
"38","CIGARETTE RETAIL (127) + LAUNDRY JOBBER (066)",3
"39","CIGARETTE RETAIL (127) + LOCKSMITH (062) + TOW TRUCK DRIVER (125)",1
"40","CIGARETTE RETAIL (127) + NEWSSTAND (024)",33
"41","CIGARETTE RETAIL (127) + PARKING LOTS (050)",4
"42","CIGARETTE RETAIL (127) + PAWNBROKER (080)",1
"43","CIGARETTE RETAIL (127) + PEDICAB DRIVER (131)",1
"44","CIGARETTE RETAIL (127) + PROCESS SERVER (110)",2
"45","CIGARETTE RETAIL (127) + SECOND HAND DLR AUTO (005)",1
"46","CIGARETTE RETAIL (127) + SECOND HAND DLR GEN (006)",10
"47","CIGARETTE RETAIL (127) + SECOND HAND DLR GEN (006) + STOOP LINE STAND (033)",1
"48","CIGARETTE RETAIL (127) + SIDEWALK CAFE (013)",1
"49","CIGARETTE RETAIL (127) + STOOP LINE STAND (033)",433
"50","CIGARETTE RETAIL (127) + TOW TRUCK COMPANY (124)",2
"51","CIGARETTE RETAIL (127) + TOW TRUCK DRIVER (125)",2
"52","COMMERCIAL LESSOR (091)",7
"53","DEALER IN PRODUCTS (119)",556
"54","DEBT COLLECTION (122)",186
"55","DEBT COLLECTION (122) + HORSE DRAWN DRIVER (086)",1
"56","DEBT COLLECTION (122) + TOW TRUCK DRIVER (125)",1
"57","ELECTRONIC HOME APPL (115)",949
"58","ELECTRONIC HOME APPL (115) + ELECTRONICS STORE (001)",347
"59","ELECTRONIC HOME APPL (115) + ELECTRONICS STORE (001) + GAMING CAFES (129)",1
"60","ELECTRONIC HOME APPL (115) + ELECTRONICS STORE (001) + PAWNBROKER (080)",1
"61","ELECTRONIC HOME APPL (115) + ELECTRONICS STORE (001) + SECOND HAND DLR GEN (006)",72
"62","ELECTRONIC HOME APPL (115) + ELECTRONICS STORE (001) + SECOND HAND DLR GEN (006) + PAWNBROKER (080)",2
"63","ELECTRONIC HOME APPL (115) + GENERAL VENDOR VETRN (094)",3
"64","ELECTRONIC HOME APPL (115) + HOME IMPROV CONTCTR (100)",4
"65","ELECTRONIC HOME APPL (115) + HOME IMPROV SALESPSN (101)",1
"66","ELECTRONIC HOME APPL (115) + HOME IMPROV SALESPSN (101) + ELECTRONICS STORE (001) + SECOND HAND DLR GEN (006)",1
"67","ELECTRONIC HOME APPL (115) + HOME IMPROV SALESPSN (101) + HOME IMPROV CONTCTR (100) + LOCKSMITH (062) + ELECTRONICS STORE (001)",1
"68","ELECTRONIC HOME APPL (115) + PROCESS SERVER (110)",1
"69","ELECTRONIC HOME APPL (115) + SECOND HAND DLR GEN (006)",130
"70","ELECTRONIC HOME APPL (115) + SECOND HAND DLR GEN (006) + DEALER IN PRODUCTS (119)",1
"71","ELECTRONIC HOME APPL (115) + SECOND HAND DLR GEN (006) + STOOP LINE STAND (033)",1
"72","ELECTRONIC HOME APPL (115) + STOOP LINE STAND (033)",1
"73","ELECTRONICS STORE (001)",1842
"74","ELECTRONICS STORE (001) + DEALER IN PRODUCTS (119)",1
"75","ELECTRONICS STORE (001) + SECOND HAND DLR GEN (006)",147
"76","ELECTRONICS STORE (001) + SECOND HAND DLR GEN (006) + PAWNBROKER (080)",7
"77","ELECTRONICS STORE (001) + STOOP LINE STAND (033)",2
"78","ELECTRONICS STORE (001) + TOW TRUCK DRIVER (125)",1
"79","EMPLOYMENT AGENCIES (034)",355
"80","GAMES OF CHANCE (088)",36
"81","GAMES OF CHANCE (088) + BINGO ORG (089)",1
"82","GAMING CAFES (129)",45
"83","GARAGE & PARKING LOT (098)",33
"84","GARAGES (049)",935
"85","GARAGES (049) + GARAGE & PARKING LOT (098)",2
"86","GARAGES (049) + PARKING LOTS (050)",33
"87","GARAGES (049) + PARKING LOTS (050) + GARAGE & PARKING LOT (098)",1
"88","GENERAL VENDOR DIST (097)",8
"89","GENERAL VENDOR VETRN (094)",2005
"90","GENERAL VENDOR VETRN (094) + LAUNDRY JOBBER (066)",3
"91","GENERAL VENDOR VETRN (094) + PEDICAB DRIVER (131)",1
"92","GENERAL VENDOR VETRN (094) + PROCESS SERVER (110)",2
"93","GENERAL VENDOR VETRN (094) + SECOND HAND DLR GEN (006)",1
"94","GENERAL VENDOR VETRN (094) + SIGHTSEEING GUIDE (021)",3
"95","GENERAL VENDOR VETRN (094) + STOOP LINE STAND (033)",1
"96","GENERAL VENDOR VETRN (094) + TOW TRUCK DRIVER (125)",2
"97","GOING OUT / BUS SALE (102)",11
"98","HOME IMPROV CONTCTR (100)",7545
"99","HOME IMPROV CONTCTR (100) + GENERAL VENDOR VETRN (094)",1
"100","HOME IMPROV CONTCTR (100) + GOING OUT / BUS SALE (102)",1
"101","HOME IMPROV CONTCTR (100) + LOCKSMITH (062)",2
"102","HOME IMPROV CONTCTR (100) + PARKING LOTS (050)",1
"103","HOME IMPROV CONTCTR (100) + SCALE REPAIRER/DLR (107)",1
"104","HOME IMPROV CONTCTR (100) + SECOND HAND DLR GEN (006)",1
"105","HOME IMPROV CONTCTR (100) + TOW TRUCK DRIVER (125)",1
"106","HOME IMPROV SALESPSN (101)",6312
"107","HOME IMPROV SALESPSN (101) + AUCTIONEER (DAY) (036)",1
"108","HOME IMPROV SALESPSN (101) + DEBT COLLECTION (122)",1
"109","HOME IMPROV SALESPSN (101) + ELECTRONICS STORE (001)",1
"110","HOME IMPROV SALESPSN (101) + GENERAL VENDOR VETRN (094)",3
"111","HOME IMPROV SALESPSN (101) + HOME IMPROV CONTCTR (100)",1248
"112","HOME IMPROV SALESPSN (101) + HOME IMPROV CONTCTR (100) + AUCTIONEER (DAY) (036)",1
"113","HOME IMPROV SALESPSN (101) + HOME IMPROV CONTCTR (100) + GENERAL VENDOR VETRN (094)",2
"114","HOME IMPROV SALESPSN (101) + HOME IMPROV CONTCTR (100) + GENERAL VENDOR VETRN (094) + TOW TRUCK DRIVER (125) + HORSE DRAWN DRIVER (086)",1
"115","HOME IMPROV SALESPSN (101) + HOME IMPROV CONTCTR (100) + LOCKSMITH (062)",3
"116","HOME IMPROV SALESPSN (101) + HOME IMPROV CONTCTR (100) + PEDICAB DRIVER (131)",1
"117","HOME IMPROV SALESPSN (101) + HOME IMPROV CONTCTR (100) + PROCESS SERVER (110)",1
"118","HOME IMPROV SALESPSN (101) + HOME IMPROV CONTCTR (100) + TOW TRUCK DRIVER (125)",5
"119","HOME IMPROV SALESPSN (101) + LOCKSMITH (062)",18
"120","HOME IMPROV SALESPSN (101) + LOCKSMITH (062) + ELECTRONICS STORE (001) + TOW TRUCK DRIVER (125)",1
"121","HOME IMPROV SALESPSN (101) + LOCKSMITH (062) + TOW TRUCK DRIVER (125)",1
"122","HOME IMPROV SALESPSN (101) + PEDICAB DRIVER (131)",1
"123","HOME IMPROV SALESPSN (101) + PROCESS SERVER (110)",3
"124","HOME IMPROV SALESPSN (101) + PROCESS SERVER (110) + PROCESS SERVER ORG (109)",1
"125","HOME IMPROV SALESPSN (101) + SECOND HAND DLR GEN (006)",4
"126","HOME IMPROV SALESPSN (101) + SIGHTSEEING GUIDE (021)",1
"127","HOME IMPROV SALESPSN (101) + TOW TRUCK DRIVER (125)",25
"128","HORSE DRAWN CAB (087)",52
"129","HORSE DRAWN DRIVER (086)",218
"130","HORSE DRAWN DRIVER (086) + HORSE DRAWN CAB (087)",7
"131","HORSE DRAWN DRIVER (086) + PEDICAB COMPANY (130)",1
"132","HORSE DRAWN DRIVER (086) + PEDICAB DRIVER (131)",12
"133","HORSE DRAWN DRIVER (086) + PEDICAB DRIVER (131) + PEDICAB COMPANY (130)",2
"134","HORSE DRAWN DRIVER (086) + SIGHTSEEING GUIDE (021)",1
"135","LAUNDRY (064)",2626
"136","LAUNDRY (064) + GENERAL VENDOR VETRN (094)",1
"137","LAUNDRY (064) + LAUNDRY JOBBER (066)",26
"138","LAUNDRY (064) + PARKING LOTS (050)",1
"139","LAUNDRY JOBBER (066)",1741
"140","LAUNDRY JOBBER (066) + SIGHTSEEING GUIDE (021)",1
"141","LOCKSMITH (062)",1717
"142","LOCKSMITH (062) + GENERAL VENDOR VETRN (094)",6
"143","LOCKSMITH (062) + GENERAL VENDOR VETRN (094) + TOW TRUCK DRIVER (125)",1
"144","LOCKSMITH (062) + PEDICAB DRIVER (131)",1
"145","LOCKSMITH (062) + PROCESS SERVER (110)",3
"146","LOCKSMITH (062) + SECOND HAND DLR AUTO (005)",1
"147","LOCKSMITH (062) + SECOND HAND DLR GEN (006)",1
"148","LOCKSMITH (062) + STOOP LINE STAND (033)",3
"149","LOCKSMITH (062) + TOW TRUCK DRIVER (125)",9
"150","LOCKSMITH (062) + TOW TRUCK DRIVER (125) + PROCESS SERVER (110)",1
"151","LOCKSMITH APPRENTICE (063)",5
"152","MOTION PICTURE OPER (123)",303
"153","MOTION PICTURE OPER (123) + GENERAL VENDOR VETRN (094)",1
"154","NEWSSTAND (024)",77
"155","PARKING LOTS (050)",417
"156","PAWNBROKER (080)",218
"157","PEDICAB COMPANY (130)",119
"158","PEDICAB DRIVER (131)",1165
"159","PEDICAB DRIVER (131) + PEDICAB COMPANY (130)",36
"160","PERNAMENT AMUSE DEVI (016)",37
"161","PERNAMENT AMUSE DEVI (016) + AMUSEMENT ARCADES (014)",1
"162","PORTABLE AMUSEMENT (018)",52
"163","PROCESS SERVER (110)",1210
"164","PROCESS SERVER (110) + PROCESS SERVER ORG (109)",2
"165","PROCESS SERVER ORG (109)",82
"166","SCALE REPAIRER/DLR (107)",21
"167","SCRAP METL PROCESSOR (118)",52
"168","SECOND HAND DLR AUTO (005)",617
"169","SECOND HAND DLR AUTO (005) + PARKING LOTS (050)",1
"170","SECOND HAND DLR AUTO (005) + SCRAP METL PROCESSOR (118)",1
"171","SECOND HAND DLR AUTO (005) + TOW TRUCK COMPANY (124)",12
"172","SECOND HAND DLR AUTO (005) + TOW TRUCK COMPANY (124) + SCRAP METL PROCESSOR (118)",1
"173","SECOND HAND DLR AUTO (005) + TOW TRUCK DRIVER (125)",2
"174","SECOND HAND DLR GEN (006)",3621
"175","SECOND HAND DLR GEN (006) + AUCTIONEER (DAY) (036)",1
"176","SECOND HAND DLR GEN (006) + AUCTION HOUSES (128)",2
"177","SECOND HAND DLR GEN (006) + DEALER IN PRODUCTS (119)",1
"178","SECOND HAND DLR GEN (006) + GOING OUT / BUS SALE (102)",1
"179","SECOND HAND DLR GEN (006) + LAUNDRY JOBBER (066)",1
"180","SECOND HAND DLR GEN (006) + PARKING LOTS (050)",1
"181","SECOND HAND DLR GEN (006) + PAWNBROKER (080)",118
"182","SECOND HAND DLR GEN (006) + SCALE REPAIRER/DLR (107)",2
"183","SECOND HAND DLR GEN (006) + SCRAP METL PROCESSOR (118)",2
"184","SECOND HAND DLR GEN (006) + SECOND HAND DLR AUTO (005)",89
"185","SECOND HAND DLR GEN (006) + SECOND HAND DLR AUTO (005) + SCRAP METL PROCESSOR (118)",4
"186","SECOND HAND DLR GEN (006) + SECOND HAND DLR AUTO (005) + TOW TRUCK COMPANY (124)",16
"187","SECOND HAND DLR GEN (006) + SECOND HAND DLR AUTO (005) + TOW TRUCK COMPANY (124) + SCRAP METL PROCESSOR (118)",2
"188","SECOND HAND DLR GEN (006) + SECOND HAND DLR AUTO (005) + TOW TRUCK DRIVER (125)",1
"189","SECOND HAND DLR GEN (006) + SECOND HAND DLR AUTO (005) + TOW TRUCK DRIVER (125) + TOW TRUCK COMPANY (124)",1
"190","SECOND HAND DLR GEN (006) + SECOND HAND DLR AUTO (005) + TOW TRUCK DRIVER (125) + TOW TRUCK COMPANY (124) + SCRAP METL PROCESSOR (118)",1
"191","SECOND HAND DLR GEN (006) + STOOP LINE STAND (033)",1
"192","SECOND HAND DLR GEN (006) + STORAGE WAREHOUSE (120)",1
"193","SECOND HAND DLR GEN (006) + TOW TRUCK COMPANY (124)",40
"194","SIDEWALK CAFE (013)",752
"195","SIGHTSEEING BUS (078)",9
"196","SIGHTSEEING GUIDE (021)",1921
"197","SIGHTSEEING GUIDE (021) + PEDICAB COMPANY (130)",1
"198","SIGHTSEEING GUIDE (021) + PEDICAB DRIVER (131)",5
"199","SIGHTSEEING GUIDE (021) + PEDICAB DRIVER (131) + PEDICAB COMPANY (130)",1
"200","STOOP LINE STAND (033)",1919
"201","STOOP LINE STAND (033) + LAUNDRY JOBBER (066)",1
"202","STOOP LINE STAND (033) + SIDEWALK CAFE (013)",5
"203","STOOP LINE STAND (033) + TOW TRUCK DRIVER (125)",1
"204","STORAGE WAREHOUSE (120)",52
"205","TOW TRUCK COMPANY (124)",425
"206","TOW TRUCK COMPANY (124) + BOOTING COMPANY (126)",1
"207","TOW TRUCK COMPANY (124) + SCRAP METL PROCESSOR (118)",2
"208","TOW TRUCK DRIVER (125)",2476
"209","TOW TRUCK DRIVER (125) + AUCTIONEER (DAY) (036)",1
"210","TOW TRUCK DRIVER (125) + PEDICAB DRIVER (131)",1
"211","TOW TRUCK DRIVER (125) + PROCESS SERVER (110)",6
"212","TOW TRUCK DRIVER (125) + SIGHTSEEING GUIDE (021)",2
"213","TOW TRUCK DRIVER (125) + TOW TRUCK COMPANY (124)",13
